sent,type
"Mama, who has the most worms?","['a1_special_questions', 'a1_present_simple_3d_pers']"
This is the most difficult test I have ever taken.,"['a1_to_be_present_is_am_are', 'a1_superlative_long', 'a2_present_perfect']"
There is a cat in the box.,['a1_there_is_am_are']
There was a dog barking at us.,['a1_there_was_were']
"If that happens, there will be flames.","['a2_first_conditional_if_m', 'a1_to_be_future_will_be', 'a1_present_simple_3d_pers']"
"By the time it will be ready, you will be landing in Heathrow.",['a1_to_be_future_will_be']
He would like three men killed.,['a1_want_would_like_to']
"Yes. I couldn't find a better friend than Alex, could I? she said.","['a2_could', 'a1_comparative_exept', 'a2_say_reported_verb']"
Big dogs are more gentle than small dogs.,"['a1_to_be_present_is_am_are', 'a1_comparative_long']"
I'm taller than you.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
Have we got any red chilli peppers at home?,['a1_have_has_got']
The children's clothes were brand new.,"['a1_possessive_s_plurar', 'a1_to_be_past_was_were']"
Where is my photo?,"['a1_special_questions', 'a1_to_be_present_is_am_are']"
This was the worst movie I have ever seen.,"['a1_to_be_past_was_were', 'a1_superlative_exept', 'a2_present_perfect']"
It is the most expensive piece of clothing I have ever bought.,"['a1_to_be_present_is_am_are', 'a1_superlative_long', 'a2_present_perfect']"
There are many sinners in Hell.,"['a1_there_is_am_are', 'a2_much_many_a_lot']"
There were two police officers waiting for you outside.,['a1_there_was_were']
And there will be no fourth.,['a1_there_will_be']
The scan will be this afternoon and sentence will be at midnight tonight.,['a1_to_be_future_will_be']
He wouldn't like us going to his basement.,['a1_want_would_like_to']
It was worse than I expected.,"['a1_to_be_past_was_were', 'a1_comparative_exept', 'a1_past_simple_reg']"
The second lecture was more interesting than the first.,"['a1_to_be_past_was_were', 'a1_comparative_long']"
I think Lisa is shorter than Pam.,"['a1_present_simple_reg_act', 'a1_comparative_short']"
We've got pizza for dinner.,['a1_have_has_got']
"Joanne's and Todd's cars were bought from the same dealer; both proved useless, even though Joanne's car was an import and Todd's was a domestic model.","['a1_possesive_s_sing', 'a2_passive_past_simple', 'a1_past_simple_reg', 'a1_to_be_past_was_were']"
Which of the trains goes to London?,"['a1_special_questions', 'a1_present_simple_3d_pers']"
John's test score was the worst in our class.,"['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_superlative_exept']"
"Of all the boys, Paul runs the fastest.","['a1_present_simple_3d_pers', 'a1_superlative_short']"
There is ice cream on your shirt.,['a1_there_is_am_are']
There were many stores around here.,['a1_there_was_were']
Yes and there will be a large commission.,['a1_to_be_future_will_be']
They won't be watching the roads.,['a1_to_be_future_will_be']
I don't want any special treatment.,"['a1_present_simple_reg_act', 'a1_want_would_like_to']"
Worse off than our poorest beggars.,"['a1_comparative_exept', 'a1_superlative_short']"
I'm more intelligent than he is.,"['a1_comparative_long', 'a1_to_be_present_is_am_are']"
Julia is taller than her friend.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
Mike hasn't got any brothers.,['a1_have_has_got']
"The house on the left is the Smiths', but the house at the end of the street is the Whites'.","['a1_to_be_present_is_am_are', 'a1_possessive_s_plurar']"
How long will it take?,"['a1_special_questions', 'a1_future_simple']"
She's the most beautiful girl I've ever seen.,"['a1_to_be_present_is_am_are', 'a1_superlative_long', 'a2_present_perfect']"
My house is the largest one in our neighborhood.,"['a1_to_be_present_is_am_are', 'a1_superlative_short']"
There's a good song on the radio.,['a1_there_is_am_are']
There wasn't a christmas tree in the living room.,['a1_there_was_were']
Therefore it is expected that there will be minimal costs associated with disposal of unusable stocks.,"['a2_passive_present_simple', 'a1_to_be_future_will_be']"
She won't be with us for very long.,['a1_to_be_future_will_be']
You don't want me to free vera.,"['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']"
It was on one of these occasions that she wandered farther than she realized.,"['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_comparative_exept']"
This book is more boring than the last one.,"['a1_to_be_present_is_am_are', 'a1_comparative_long']"
Nick is taller than Mike.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
We have got many good movies.,['a1_have_has_got']
The fairies' wings glistened in the moonlight.,"['a1_possessive_s_plurar', 'a1_past_simple_reg']"
What should I eat for lunch?,"['a1_special_questions', 'a2_should']"
London is most depressing in January.,"['a1_to_be_present_is_am_are', 'a1_superlative_long']"
My rock flew the highest.,"['a1_past_simple_irreg', 'a1_superlative_short']"
There are only five weeks until my birthday.,['a1_there_is_am_are']
There weren't many movies to watch online.,"['a1_there_was_were', 'a2_to_non_finite_forms']"
I'm sure there will be other offers.,"['a1_there_is_am_are', 'a1_to_be_future_will_be']"
I won't be responsible for any more violence.,['a1_to_be_future_will_be']
Someone doesn't want you to remember.,"['a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_to_non_finite_forms']"
He offered no further information and she felt uncomfortable about asking.,"['a1_past_simple_reg', 'a2_to_non_finite_forms', 'a1_comparative_exept']"
My sister is much more intelligent than me,"['a1_to_be_present_is_am_are', 'a2_much_many_a_lot', 'a1_comparative_long']"
Greg is happier than me.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
You've got a high temperature.,['a1_have_has_got']
Zeus does not bring all men's plans to fulfilment.,"['a1_present_simple_3d_pers', 'a1_possessive_s_plurar', 'a2_to_non_finite_forms']"
Will is the best scientist in the class.,"['a1_superlative_exept', 'a1_to_be_present_is_am_are']"
Sam is the most handsome boy in the whole school.,"['a1_to_be_present_is_am_are', 'a1_superlative_long']"
I have three sisters: Jan is the oldest and Angela is the youngest.,"['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are', 'a1_superlative_short']"
Is there anybody at home?,['a1_there_is_am_are']
There weren't any attempts to fix the problem.,"['a1_there_was_were', 'a2_to_non_finite_forms']"
Which means there will be some soon.,['a1_there_will_be']
Your colt won't be visible.,['a1_to_be_future_will_be']
"In the week that followed, they drifted further apart.","['a1_past_simple_reg', 'a1_comparative_exept']"
I find maths lessons more enjoyable than science lessons.,"['a1_comparative_long', 'a1_present_simple_reg_act']"
Florida is hotter than Colorado.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
Have you got a sore throat as well as a runny nose?,['a1_have_has_got']
Where did Anabel meet your husband?,"['a1_special_questions', 'a1_past_simple_irreg']"
"I ran pretty far yesterday, but I ran even farther today.","['a1_past_simple_irreg', 'a1_comparative_exept']"
